+-----+-----------------------+-----------+----------------------------+-----+
| d   | G                     | ell       | field                      | ind |
| 44  | {\rm M}_{23}          | 2         | b7                         | 0   |
| 44  | {\rm M}_{24}          | 2         | b7                         | 0   |
| 45  | A_{8}                 | 7         |                            | 1   |
| 45  | A_{8}                 | ! 2,7     | b7                         | 0   |
| 45  | A_{11}                | ! 2,11    |                            | 1   |
| 45  | A_{12}                | 3         |                            | 1   |
| 45  | {\rm PSL}_{3}(4)      | 7         |                            | 1   |
| 45  | {\rm PSL}_{3}(4)      | ! 2,7     | b7                         | 0   |
| 45  | 3.{\rm PSL}_{3}(4)    | 0,5       | z3, b7                     | 0   |
| 45  | {\rm PSU}_{4}(2)      | 0,5       | z3                         | 0   |
| 45  | 3_2.{\rm PSU}_{4}(3)  | 7         | z3                         | 0   |
| 45  | 3_2.{\rm PSU}_{4}(3)  | ! 3,7     | z3, b7                     | 0   |
| 45  | {\rm M}_{11}          | ! 2,11    |                            | 1   |
| 45  | {\rm M}_{12}          | ! 2,11    |                            | 1   |
| 45  | {\rm M}_{22}          | 7         |                            | 1   |
| 45  | {\rm M}_{22}          | ! 2,7     | b7                         | 0   |
| 45  | 3.{\rm M}_{22}        | 7         | z3                         | 0   |
| 45  | 3.{\rm M}_{22}        | ! 3,7     | z3, b7                     | 0   |
| 45  | {\rm M}_{23}          | 7         |                            | 1   |
| 45  | {\rm M}_{23}          | ! 2,7     | b7                         | 0   |
| 45  | {\rm M}_{24}          | 7         |                            | 1   |
| 45  | {\rm M}_{24}          | ! 2,7     | b7                         | 0   |
| 45  | {\rm J}_1             | 7         | c19                        | 1   |
| 45  | 3.{\rm McL}           | 5         | z3, b7                     | 0   |
| 45  | 3.{\rm {\rm O'N}}     | 7         |                            | 0   |
| 47  | A_{9}                 | 7         |                            | 1   |
| 48  | 2.A_{8}               | ! 2       |                            | -1  |
| 48  | A_{9}                 | 0,2       |                            | 1   |
| 48  | 2.A_{9}               | 3         |                            | 1   |
| 48  | 2.A_{9}               | ! 2,3     | i6                         | 0   |
| 48  | A_{10}                | 2         |                            | 1   |
| 48  | 2.A_{10}              | 3         |                            | 1   |
| 48  | 2.A_{10}              | ! 2,3     | i6                         | 0   |
| 48  | 12_1.{\rm PSL}_{3}(4) | 0,7       | z12,b5                     | 0   |
